0,148,6,144,25
1,129,48,130,57
2,22,8,22,0
3,23,10,23,18
4,32,16,32,23
5,15,21,14,13
6,131,9,134,0
7,24,88,75,49
8,14,13,22,9
9,39,12,32,14
10,40,11,47,9
11,75,49,76,37
12,24,18,31,15
13,133,69,137,85
14,32,24,25,27
15,24,26,24,19
16,23,19,15,22
17,158,34,129,34
18,144,26,134,21
19,42,42,47,40
20,76,37,77,30
21,126,32,129,48
22,27,51,22,55
23,5,32,0,1
24,16,32,24,28
25,25,36,18,40
26,20,48,26,45
27,77,30,78,22
28,134,85,132,73
29,11,15,15,38
30,131,68,131,85
31,40,19,40,12
32,10,0,12,15
33,78,22,91,25
34,13,62,5,32
35,17,45,19,56
36,15,68,13,61
37,63,1,62,17
38,62,18,62,42
39,159,98,154,89
40,91,12,93,0
41,134,21,130,27
42,36,58,17,71
43,23,64,45,49
44,46,49,55,43
45,48,50,37,57
46,6,86,25,88
47,62,42,48,50
48,94,11,94,22
49,0,76,5,86
50,60,36,60,27
51,112,9,107,27
52,91,23,91,12
53,93,102,45,102
54,45,103,42,90
55,40,89,27,88
56,130,87,96,89
57,103,26,104,1
58,107,14,106,5
59,108,0,107,12
60,109,19,110,1
61,96,90,102,115
62,101,116,59,118
63,111,0,111,8
64,131,1,124,13
65,82,20,86,0
66,137,85,150,83
67,79,7,77,20
68,77,112,91,103
69,35,96,32,111
70,34,116,36,107
71,153,93,158,103
72,131,93,148,90
73,129,47,130,58
74,53,15,53,20
75,131,10,134,0
76,12,14,22,9
77,32,5,39,3
78,15,21,14,14
79,31,6,23,8
80,24,27,24,19
81,157,34,128,34
82,132,67,137,85
83,75,49,78,22
84,40,43,36,47
85,27,52,21,56
86,19,48,26,45
87,47,9,47,17
88,126,16,130,10
89,9,0,18,51
90,131,68,131,86
91,6,35,0,1
92,135,85,132,73
93,78,22,85,23
94,16,70,6,34
95,20,57,21,64
96,63,7,62,28
97,62,28,62,39
98,159,99,154,89
99,90,23,93,0
100,60,40,60,9
101,37,54,46,49
102,46,48,57,42
103,30,62,17,71
104,23,64,37,55
105,46,51,33,60
106,62,42,46,52
107,63,0,63,7
108,97,8,97,25
109,106,25,107,1
110,92,102,45,102
111,0,75,5,88
112,111,6,109,20
113,45,103,43,94
114,103,26,104,13
115,79,0,77,20
116,108,0,107,18
117,132,87,96,89
118,41,89,27,88
119,103,12,103,0
120,103,116,58,118
121,96,90,100,104
122,82,19,84,9
123,131,0,124,13
124,147,22,150,11
125,84,9,86,1
126,100,105,102,113
127,137,85,148,84
128,151,11,149,26
129,148,83,151,88
130,79,110,92,104
131,35,116,37,102
132,35,94,31,114
133,151,90,155,97
134,129,45,130,60
135,23,10,24,17
136,53,13,54,7
137,130,61,137,85
138,39,11,32,14
139,12,13,22,9
140,127,36,129,44
141,159,34,128,34
142,39,29,34,31
143,33,40,28,44
144,33,31,33,24
145,27,36,32,33
146,75,49,78,23
147,35,39,40,37
148,10,0,15,38
149,7,38,0,1
150,16,70,7,38
151,17,45,19,57
152,20,57,21,63
153,63,0,62,42
154,47,8,47,0
155,90,18,93,0
156,32,61,17,71
157,35,55,44,50
158,50,46,58,42
159,60,23,60,7
160,23,64,34,56
161,61,43,45,52
162,6,86,24,88
163,60,33,60,27
164,0,75,5,86
165,106,25,107,0
166,91,102,45,102
167,44,104,43,94
168,79,0,78,19
169,131,87,96,89
170,108,0,107,17
171,123,46,123,40
172,112,0,111,8
173,101,117,64,117
174,153,0,152,21
175,131,0,124,12
176,147,23,149,13
177,88,0,85,16
178,148,84,152,89
179,77,110,84,107
180,145,60,158,59
181,34,98,31,114
182,152,90,159,104
183,128,42,130,63
184,54,0,53,5
185,23,89,75,49
186,159,35,128,34
187,132,69,137,85
188,46,17,41,20
189,29,51,34,47
190,145,26,134,21
191,75,47,76,40
192,10,0,17,49
193,27,52,22,55
194,6,37,1,6
195,16,71,6,34
196,20,58,21,63
197,113,22,117,12
198,17,48,20,58
199,63,9,62,29
200,76,40,77,25
201,117,12,125,16
202,28,63,17,71
203,62,30,62,39
204,60,18,60,8
205,63,0,63,9
206,36,55,46,48
207,47,48,59,40
208,55,46,29,63
209,4,86,24,88
210,0,75,4,85
211,61,43,56,46
212,100,1,98,10
213,103,26,104,7
214,130,87,97,89
215,91,102,45,103
216,147,27,150,11
217,44,99,41,90
218,96,90,101,110
219,137,85,150,84
220,101,117,51,118
221,155,3,154,12
222,36,93,31,115
223,79,110,91,104
224,153,13,151,26
225,152,91,159,106
226,139,60,158,59
227,7,93,15,94
228,32,75,23,85
229,147,12,144,25
230,32,14,31,7
231,128,14,134,0
232,31,6,24,9
233,152,34,129,34
234,126,34,129,44
235,78,21,86,24
236,33,40,28,43
237,27,35,32,32
238,8,44,0,1
239,135,84,131,69
240,16,70,8,44
241,20,56,21,63
242,76,37,78,23
243,63,5,62,38
244,91,13,94,1
245,61,20,60,13
246,43,53,17,71
247,48,46,56,42
248,23,64,34,57
249,34,56,46,49
250,60,32,60,24
251,159,35,152,35
252,61,43,53,47
253,55,47,44,53
254,103,26,104,12
255,79,0,77,21
256,111,5,110,13
257,90,102,45,102
258,40,89,26,89
259,96,90,103,115
260,131,1,124,12
261,101,117,65,118
262,75,51,74,62
263,36,92,31,114
264,35,115,37,103
265,80,109,91,103
266,147,60,156,59
267,155,40,137,41
268,156,98,159,104
269,140,38,156,38
270,150,92,156,97
271,7,93,14,94
272,14,95,26,95
273,32,76,24,85
274,31,15,31,7
275,39,4,40,10
276,128,15,134,0
277,159,35,129,34
278,14,12,22,9
279,127,33,129,47
280,133,72,137,85
281,41,43,36,47
282,78,22,89,24
283,7,39,0,1
284,35,39,40,36
285,27,51,21,56
286,27,36,32,32
287,10,0,17,48
288,16,70,7,39
289,98,27,110,30
290,18,51,21,64
291,92,7,93,0
292,63,0,62,35
293,47,48,54,43
294,61,25,60,11
295,5,86,24,88
296,61,43,44,53
297,0,75,4,86
298,102,25,104,14
299,106,25,107,4
300,44,102,43,95
301,103,10,103,0
302,43,96,41,90
303,137,85,151,83
304,102,117,68,118
305,131,1,123,12
306,154,0,152,22
307,36,93,31,114
308,67,117,54,118
309,82,107,92,104
310,152,91,157,102
311,147,61,157,59
312,29,78,23,85
