0,13,15,0,24
1,14,2,5,2
2,85,28,86,22
3,0,27,14,17
4,98,9,96,15
5,91,47,96,50
6,104,55,98,51
7,89,46,83,44
8,99,45,106,48
9,76,39,71,36
10,94,33,101,36
11,133,68,135,79
12,98,43,92,41
13,88,11,89,5
14,103,28,95,25
15,85,36,90,40
16,69,63,110,89
17,92,33,86,29
18,108,40,102,37
19,104,29,111,33
20,47,49,67,62
21,88,21,94,25
22,98,6,99,0
23,97,17,104,19
24,81,10,88,12
25,39,7,29,15
26,113,24,106,20
27,106,56,113,35
28,135,85,132,72
29,47,27,48,50
30,105,11,98,8
31,113,35,122,0
32,90,4,97,7
33,73,6,73,0
34,118,5,110,2
35,60,44,62,10
36,159,36,148,36
37,128,18,110,68
38,79,59,73,64
39,124,84,131,73
40,62,9,63,0
41,16,27,19,45
42,69,62,76,56
43,65,0,64,19
44,159,99,154,89
45,79,49,87,54
46,132,0,128,17
47,109,70,62,42
48,87,55,103,63
49,62,40,78,49
50,25,46,24,36
51,90,103,45,102
52,43,18,41,29
53,150,31,137,62
54,111,90,97,88
55,158,0,150,31
56,130,86,119,89
57,39,89,17,88
58,45,103,43,92
59,17,88,0,86
60,102,117,36,117
61,97,90,102,114
62,48,15,46,7
63,25,34,26,26
64,24,18,16,28
65,48,25,47,14
66,138,85,150,83
67,137,61,133,69
68,83,108,90,105
69,34,15,36,21
70,34,116,37,108
71,110,71,125,79
72,38,114,44,104
73,34,99,31,112
74,119,89,111,91
75,70,107,78,108
76,148,61,157,59
77,101,35,102,29
78,13,2,5,2
79,93,32,86,29
80,104,55,98,52
81,93,33,100,37
82,90,48,96,50
83,71,29,77,32
84,69,64,109,89
85,86,20,80,18
86,105,19,107,12
87,100,44,106,48
88,88,21,94,24
89,72,14,66,12
90,135,86,132,70
91,81,10,87,13
92,111,41,114,32
93,105,58,111,41
94,91,4,97,7
95,108,11,116,15
96,114,32,115,26
97,116,26,122,0
98,79,59,72,64
99,60,43,63,0
100,128,16,111,66
101,122,87,131,73
102,78,49,87,54
103,65,7,64,19
104,92,57,101,62
105,69,62,77,55
106,132,0,128,16
107,159,98,154,89
108,69,44,77,49
109,25,46,25,36
110,63,27,62,40
111,108,70,64,44
112,158,0,153,21
113,91,103,46,102
114,149,34,136,63
115,42,15,42,24
116,133,86,122,88
117,40,89,0,86
118,45,101,42,90
119,97,90,102,115
120,24,19,15,28
121,48,25,47,11
122,150,34,154,23
123,102,116,60,118
124,24,37,26,29
125,152,21,148,32
126,137,85,150,83
127,29,29,30,41
128,35,116,39,91
129,35,18,39,26
130,80,109,92,105
131,111,70,125,79
132,35,97,31,114
133,132,73,131,86
134,89,46,84,43
135,77,40,81,43
136,98,43,92,40
137,109,41,102,37
138,79,25,85,28
139,69,63,109,89
140,133,71,136,80
141,48,49,67,62
142,95,15,89,13
143,135,84,132,72
144,88,4,82,2
145,39,7,29,14
146,108,52,113,33
147,113,34,122,0
148,104,63,107,52
149,60,44,63,0
150,65,5,64,19
151,69,61,77,55
152,80,50,89,55
153,63,41,75,48
154,93,57,102,63
155,130,9,128,17
156,132,0,130,8
157,153,27,157,15
158,108,69,64,44
159,43,10,43,19
160,150,31,137,61
161,90,103,46,102
162,158,0,150,30
163,41,18,43,24
164,34,16,43,28
165,109,89,96,88
166,133,87,121,87
167,45,102,43,92
168,47,17,48,6
169,101,116,63,118
170,24,18,16,27
171,137,85,151,83
172,136,61,133,68
173,80,110,92,104
174,35,117,37,102
175,115,73,125,79
176,147,61,157,59
177,124,90,111,91
178,95,24,96,17
179,105,56,98,51
180,94,33,100,37
181,85,21,80,18
182,77,25,72,22
183,48,50,67,62
184,88,21,95,24
185,135,85,132,71
186,95,16,89,13
187,108,51,111,42
188,108,11,115,15
189,104,62,108,51
190,111,42,122,0
191,60,45,63,0
192,65,0,63,30
193,16,28,19,45
194,67,43,75,48
195,149,34,133,69
196,158,0,149,33
197,42,20,41,30
198,133,88,124,86
199,45,101,43,94
200,97,90,103,118
201,101,116,59,118
202,24,18,17,27
203,150,34,154,24
204,25,36,26,26
205,148,84,153,89
206,80,110,91,105
207,34,99,31,114
208,35,116,38,101
209,116,73,125,79
210,151,91,158,102
211,79,16,79,10
212,93,32,87,29
213,102,29,95,25
214,113,24,105,21
215,135,84,133,73
216,111,43,122,0
217,105,58,107,52
218,79,59,72,63
219,65,0,64,18
220,93,57,101,62
221,77,48,88,55
222,132,0,128,18
223,66,42,76,48
224,63,23,63,32
225,25,46,25,38
226,108,69,60,42
227,150,31,139,56
228,42,18,41,30
229,89,103,46,102
230,108,89,96,88
231,132,86,122,88
232,39,89,10,87
233,139,56,133,68
234,10,87,0,86
235,47,24,48,9
236,103,116,67,118
237,24,18,15,28
238,25,38,26,29
239,149,84,153,90
240,37,100,39,91
241,82,109,90,105
242,139,60,150,61
243,34,115,37,102
244,34,98,31,113
245,151,91,159,106
246,122,90,109,91
247,133,93,148,90
248,99,45,107,49
249,48,32,48,49
250,134,85,132,71
251,105,59,108,52
252,108,51,115,27
253,38,7,29,15
254,115,27,117,21
255,117,21,122,0
256,17,34,19,45
257,93,58,100,61
258,70,44,77,49
259,108,69,61,42
260,48,24,48,1
261,41,14,42,26
262,130,86,121,88
263,45,103,42,90
264,16,28,17,34
265,101,117,60,118
266,25,37,26,28
267,24,18,15,29
268,149,84,152,90
269,35,116,37,105
270,79,110,92,104
271,35,94,31,114
272,148,61,158,59
273,151,92,158,103
274,121,89,112,91
