0,13,2,6,3
1,151,30,134,28
2,148,6,144,25
3,58,85,52,90
4,57,74,52,78
5,73,85,67,89
6,67,91,74,96
7,101,82,104,78
8,87,84,82,88
9,88,95,84,100
10,60,83,65,80
11,80,78,85,83
12,82,101,76,97
13,81,90,89,94
14,94,87,87,84
15,99,83,95,87
16,104,76,97,73
17,59,73,64,70
18,52,80,58,84
19,80,88,74,85
20,90,69,96,72
21,107,86,100,83
22,14,15,2,24
23,2,25,14,18
24,57,64,52,68
25,66,69,70,73
26,79,77,73,74
27,91,77,86,73
28,131,10,134,0
29,93,79,98,82
30,45,85,52,80
31,65,78,60,74
32,77,69,84,72
33,46,73,51,70
34,66,89,61,85
35,66,80,72,84
36,44,74,39,79
37,40,61,44,64
38,51,78,46,75
39,53,60,57,63
40,52,70,58,73
41,64,59,59,56
42,60,96,66,91
43,52,90,46,85
44,59,63,63,60
45,65,60,70,63
46,70,65,66,68
47,76,68,72,64
48,45,27,52,22
49,64,68,59,64
50,67,101,61,97
51,105,78,110,81
52,85,72,89,69
53,51,59,45,56
54,75,95,80,90
55,84,74,80,77
56,76,21,91,25
57,74,96,69,101
58,71,73,66,78
59,40,69,45,73
60,72,73,76,69
61,131,63,74,32
62,32,74,39,70
63,74,83,79,79
64,77,33,61,26
65,91,25,113,31
66,38,78,33,74
67,37,39,6,60
68,119,85,112,82
69,126,16,130,10
70,61,26,44,36
71,38,7,29,15
72,42,38,43,48
73,5,60,0,64
74,144,26,135,21
75,91,17,94,1
76,48,90,53,93
77,42,85,48,89
78,79,103,91,102
79,129,29,130,39
80,57,96,62,101
81,59,103,67,104
82,159,33,151,31
83,134,56,135,64
84,38,81,42,84
85,30,74,35,79
86,101,67,93,62
87,16,28,19,45
88,35,89,19,74
89,47,54,38,59
90,56,48,50,52
91,50,49,60,41
92,134,71,125,87
93,134,21,130,27
94,116,76,107,70
95,61,40,128,79
96,88,59,80,54
97,34,62,25,69
98,74,51,70,48
99,39,49,39,40
100,72,0,70,18
101,70,103,81,104
102,0,77,5,86
103,17,71,49,49
104,51,102,43,96
105,43,10,42,16
106,65,16,66,0
107,159,98,154,89
108,106,25,107,14
109,102,27,104,9
110,65,1,63,16
111,100,89,106,88
112,136,85,135,71
113,42,15,43,23
114,106,11,107,0
115,22,88,31,89
116,12,87,22,88
117,4,88,12,86
118,111,88,118,87
119,112,3,110,13
120,26,31,25,19
121,123,46,123,40
122,24,38,26,31
123,24,18,16,28
124,141,84,148,84
125,36,96,33,105
126,102,117,55,117
127,94,101,101,103
128,33,106,31,113
129,100,103,103,115
130,34,16,38,25
131,147,25,154,0
132,152,92,159,106
133,0,92,7,92
134,70,21,71,29
135,126,72,134,67
136,137,45,138,55
137,141,34,159,37
138,7,93,14,94
139,38,102,43,102
140,138,38,139,47
141,52,103,61,105
142,130,92,142,91
143,101,95,116,94
144,13,3,5,3
145,148,7,144,25
146,44,65,40,68
147,88,83,91,78
148,67,91,74,95
149,58,85,53,90
150,89,67,84,64
151,14,15,1,24
152,47,64,51,60
153,130,10,134,0
154,78,78,73,74
155,59,63,63,61
156,77,67,71,65
157,52,61,57,63
158,61,18,68,19
159,63,68,59,64
160,105,78,111,80
161,134,64,62,26
162,43,30,54,19
163,39,68,34,65
164,72,74,66,78
165,81,56,76,58
166,85,23,94,26
167,72,20,83,23
168,84,63,87,60
169,94,26,111,30
170,62,26,38,39
171,38,7,27,17
172,42,38,43,49
173,132,49,134,59
174,144,26,134,21
175,48,19,49,5
176,159,32,150,31
177,57,97,62,100
178,53,94,57,97
179,46,88,52,94
180,42,85,46,88
181,104,67,95,64
182,17,71,61,41
183,46,55,40,59
184,36,80,42,84
185,134,70,125,87
186,55,48,50,51
187,86,58,80,54
188,134,22,130,27
189,135,56,135,63
190,74,51,68,47
